action_type,event_type,loc_x,loc_y,minutes_remaining,period,player_name,position,height,shot_distance,shot_made_flag,points,shot_type,shot_zone_basic,shot_zone_range,team_name
Cutting Finger Roll Layup Shot,Made Shot,4,10,6,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Jump Shot,Missed Shot,-142,243,11,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,28,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Missed Shot,185,195,10,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Made Shot,230,13,10,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,23,1,3,3PT Field Goal,Right Corner 3,24+ ft.,Golden State Warriors
Running Pull-Up Jump Shot,Missed Shot,68,267,8,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Made Shot,-128,258,7,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,28,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Step Back Jump shot,Made Shot,-133,142,2,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,19,1,2,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Running Pull-Up Jump Shot,Made Shot,81,267,1,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Driving Finger Roll Layup Shot,Made Shot,20,24,11,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,3,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Jump Shot,Missed Shot,17,288,8,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,28,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,160,206,8,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Made Shot,-108,231,7,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Driving Floating Bank Jump Shot,Made Shot,-92,103,6,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,13,1,2,2PT Field Goal,Mid-Range,8-16 ft.,Golden State Warriors
Hook Shot,Missed Shot,-3,75,5,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,7,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Golden State Warriors
Running Pull-Up Jump Shot,Missed Shot,-163,195,2,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,175,195,10,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Step Back Jump shot,Made Shot,-232,14,8,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,23,1,3,3PT Field Goal,Left Corner 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Made Shot,-130,226,3,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
